scenario,stage13_cohens_d,stage15_cohens_d,improvement,stage13_observability,stage15_observability
structuring,0.0,0.1747194913572214,0.1747194913572214,NONE,NONE
layering,0.2,0.08006475909136962,-0.11993524090863039,WEAK,NONE
funnel,0.0,0.059454691044419396,0.059454691044419396,NONE,NONE
rapid_movement,0.2,0.0569583887043605,-0.14304161129563953,WEAK,NONE
behavioral_change,0.0,0.06545982880912468,0.06545982880912468,NONE,NONE
high_risk_country,0.0,0.06628446028373265,0.06628446028373265,NONE,NONE
multiple_typologies,0.4,0.27744440223090433,-0.12255559776909569,WEAK,WEAK
multiple_typologies,0.4,0.3174530005031866,-0.08254699949681343,WEAK,WEAK
