feature_group,feature_count,rf_test_macro_f1,gb_test_macro_f1,rf_improvement,gb_improvement
baseline,32,0.5264453866871951,0.5378562018920588,0.0,0.0
structuring,37,0.53252433523059,0.5064218944937899,0.006078948543394858,-0.03143430739826891
layering,37,0.48986782021664405,0.5303371253530251,-0.03657756647055105,-0.00751907653903372
funnel,36,0.5234705692712315,0.5422897139056818,-0.0029748174159636154,0.004433512013622964
rapid_movement,36,0.5418810571362344,0.5255557917195944,0.015435670449039263,-0.012300410172464415
behavioral_change,36,0.5241796997745326,0.5043052946767511,-0.00226568691266249,-0.033550907215307735
severe,35,0.42949282580099096,0.5218068663455766,-0.09695256088620413,-0.016049335546482246
full,57,0.5008583306753681,0.5064257311226698,-0.02558705601182698,-0.031430470769389096
